fit	g1	tau_exp	Size Distribution	Amplitude Size Dist (au)
0.1297	0.3898440435923476	0.012782056044835868	None	None
0.1294	0.32473694099962813	0.012814091273018413	None	None
0.129	0.26377928097190306	0.012846126501200959	None	None
0.1287	0.20340097707594396	0.012878161729383506	None	None
0.1283	0.1974821495678043	0.012910196957566051	None	None
0.128	0.25695227358119155	0.012942232185748597	None	None
0.1277	0.34930477264151705	0.012974267413931144	None	None
0.1273	0.42299260929439697	0.01300630264211369	None	None
0.127	0.41624389327307654	0.013038337870296235	None	None
0.1267	0.35512965050702405	0.013070373098478782	None	None
0.1263	0.28737629963643485	0.013102408326661328	None	None
0.126	0.2125767255415667	0.013134443554843873	None	None
0.1256	0.1850807966930006	0.01316647878302642	None	None
0.1253	0.22159589126886203	0.013198514011208966	None	None
0.125	0.29345170988335667	0.013230549239391511	None	None
0.1247	0.37523487410726375	0.013262584467574058	None	None
0.1243	0.42288300137761325	0.013294619695756604	None	None
0.124	0.3873700363269563	0.01332665492393915	None	None
0.1237	0.31122385068238145	0.013358690152121697	None	None
0.1233	0.22064073656520122	0.013390725380304242	None	None
0.123	0.1810566203180315	0.013422760608486788	None	None
0.1227	0.2030564950518965	0.013454795836669335	None	None
0.1224	0.2460697732681183	0.01348683106485188	None	None
0.122	0.31134911687331623	0.013518866293034426	None	None
0.1217	0.3987066265813155	0.013550901521216971	None	None
0.1214	0.408712263560119	0.013582936749399518	None	None
0.1211	0.33521232619295915	0.013614971977582064	None	None
0.1208	0.23968119754454165	0.01364700720576461	None	None
0.1204	0.18000751597128328	0.013679042433947157	None	None
0.1201	0.17889577852929506	0.013711077662129702	None	None
0.1198	0.2068144807712997	0.013743112890312248	None	None
0.1195	0.2557465864961159	0.013775148118494795	None	None
0.1192	0.34565639483889754	0.01380718334667734	None	None
0.1189	0.4110296880871829	0.013839218574859886	None	None
0.1186	0.3607353125389636	0.013871253803042433	None	None
0.1182	0.2633408493047682	0.013903289031224978	None	None
0.1179	0.18866654140038008	0.013935324259407524	None	None
0.1176	0.17120756607755538	0.013967359487590071	None	None
0.1173	0.18252849805821825	0.013999394715772617	None	None
0.117	0.2033070274333113	0.014031429943955162	None	None
0.1167	0.2838531880242954	0.01406346517213771	None	None
0.1164	0.3873230615054126	0.014095500400320255	None	None
0.1161	0.3759394964299645	0.0141275356285028	None	None
0.1158	0.27447388199925626	0.014159570856685347	None	None
0.1155	0.19272203432274182	0.014191606084867893	None	None
0.1152	0.16128022046814294	0.014223641313050438	None	None
0.1149	0.14992797194008745	0.014255676541232986	None	None
0.1146	0.146999874733865	0.014287711769415531	None	None
0.1143	0.20933546285823468	0.014319746997598077	None	None
0.114	0.3278059626704817	0.014351782225780624	None	None
